symbol,strike_price,type,bid_price,ask_price,open_interest,volume,chance_of_profit_short,chance_of_profit_long,delta,implied_volatility,theta
AAP,123.0,put,0.650000,0.800000,8,25,0.779316,0.220684,-0.260607,0.359426,-0.195126
AAP,124.0,put,0.850000,1.050000,9,27,0.735893,0.264107,-0.33001,0.339637,-0.20462
AAP,125.0,put,1.200000,1.500000,35,35,0.685916,0.314084,-0.419359,0.342321,-0.221423
AAP,126.0,put,1.600000,1.900000,2,35,0.641238,0.358762,-0.512247,0.326754,-0.213796
AAP,127.0,put,2.150000,2.400000,4,5,0.600495,0.399505,-0.610057,0.318006,-0.197821
AAP,128.0,put,2.600000,3.500000,2,2,0.571988,0.428012,-0.686773,0.341148,-0.194465
AAP,129.0,put,2.550000,3.900000,0,3,0.504422,0.495578,-0.952807,0.148341,-0.007847
AAP,130.0,put,4.100000,4.900000,0,0,0.524539,0.475461,-0.848222,0.312072,-0.110025
AAP,131.0,put,4.900000,6.600000,0,0,0.530915,0.469085,-0.813504,0.440418,-0.187167
AAP,132.0,put,6.000000,7.300000,0,0,0.522067,0.477933,-0.845627,0.458904,-0.17092
AAP,133.0,put,5.400000,9.400000,0,0,0.507826,0.492174,-0.91062,0.404915,-0.094974
AAP,134.0,put,6.400000,10.400000,0,0,0.505575,0.494425,-0.917181,0.445167,-0.099026
AAP,135.0,put,7.400000,11.400000,0,0,0.503614,0.496386,-0.922615,0.484369,-0.102701
AAP,136.0,put,8.200000,12.400000,0,0,0.498097,0.501903,-0.953084,0.455915,-0.058342
AAP,137.0,put,9.300000,13.400000,0,0,0.498640,0.501360,-0.942633,0.528202,-0.085861
AAP,138.0,put,10.200000,14.500000,0,0,0.497349,0.502651,-0.945533,0.563595,-0.08819
AAP,139.0,put,11.200000,15.500000,0,0,0.496149,0.503851,-0.94807,0.598349,-0.090378
AAP,140.0,put,12.300000,16.300000,0,0,0.493760,0.506240,-0.961732,0.589956,-0.065082
AAP,141.0,put,14.100000,17.500000,0,0,0.502901,0.497099,-0.885916,0.906024,-0.281573
AAP,142.0,put,14.200000,18.500000,0,0,0.492948,0.507052,-0.954094,0.699185,-0.096262
AAP,143.0,put,15.300000,19.500000,0,0,0.492907,0.507093,-0.946602,0.770852,-0.124359
AAP,144.0,put,16.200000,20.500000,0,0,0.491058,0.508942,-0.957172,0.763919,-0.099751
AAP,145.0,put,17.200000,21.500000,0,0,0.490167,0.509833,-0.958508,0.79561,-0.10139
AAP,150.0,put,22.200000,26.500000,0,0,0.486120,0.513880,-0.963745,0.948142,-0.108781
AAP,152.5,put,24.700000,28.900000,0,0,0.484095,0.515905,-0.973585,0.963468,-0.080121
AAP,155.0,put,27.300000,31.300000,0,0,0.482491,0.517509,-0.974856,1.032061,-0.082566
AAP,160.0,put,32.200000,36.400000,0,0,0.479474,0.520526,-0.976889,1.164436,-0.087136
AAP,165.0,put,37.200000,41.400000,0,0,0.476658,0.523342,-0.978443,1.291051,-0.091374
AAP,170.0,put,42.200000,46.400000,0,0,0.474004,0.525996,-0.979667,1.412559,-0.095361
AAP,175.0,put,47.200000,51.400000,0,0,0.471484,0.528516,-0.980655,1.529495,-0.099155
AAP,180.0,put,52.200000,56.400000,0,0,0.469079,0.530921,-0.981467,1.642242,-0.10279
AAP,185.0,put,57.200000,61.400000,0,0,0.466775,0.533225,-0.982144,1.751187,-0.106298
AAP,190.0,put,62.200000,66.400000,0,0,0.464559,0.535441,-0.982715,1.856616,-0.1097
AAPL,50.0,put,0.000000,0.010000,9,0,0.998103,0.001897,-0.00049,3.996415,-0.016441
AAPL,60.0,put,0.000000,0.010000,0,0,0.998178,0.001822,-0.000573,3.428633,-0.016313
AAPL,65.0,put,0.000000,0.010000,10,5,0.998197,0.001803,-0.000619,3.179983,-0.016238
AAPL,70.0,put,0.000000,0.010000,14,0,0.998205,0.001795,-0.000667,2.949864,-0.016154
AAPL,75.0,put,0.000000,0.010000,26,0,0.998203,0.001797,-0.00072,2.735663,-0.016062
AAPL,80.0,put,0.000000,0.010000,1,0,0.998192,0.001808,-0.000777,2.535234,-0.015962
AAPL,85.0,put,0.000000,0.010000,55,0,0.998173,0.001827,-0.000838,2.346821,-0.015854
